date,where to buy bitcoin,isPartial,window_start,window_end
2015-06-26,0,False,2015-01-02,2015-06-30
2015-06-27,50,False,2015-01-02,2015-06-30
2015-06-28,0,False,2015-01-02,2015-06-30
2015-06-29,0,False,2015-01-02,2015-06-30
2015-06-30,82,False,2015-01-02,2015-06-30
2015-01-03,40,False,2015-01-03,2015-07-01
2015-01-04,0,False,2015-01-03,2015-07-01
2015-01-05,0,False,2015-01-03,2015-07-01
2015-01-06,35,False,2015-01-03,2015-07-01
2015-01-07,0,False,2015-01-03,2015-07-01
2015-01-08,0,False,2015-01-03,2015-07-01
2015-01-09,0,False,2015-01-03,2015-07-01
2015-01-10,0,False,2015-01-03,2015-07-01
2015-01-11,0,False,2015-01-03,2015-07-01
2015-01-12,0,False,2015-01-03,2015-07-01
2015-01-13,0,False,2015-01-03,2015-07-01
2015-01-14,0,False,2015-01-03,2015-07-01
2015-01-15,0,False,2015-01-03,2015-07-01
2015-01-16,0,False,2015-01-03,2015-07-01
2015-01-17,39,False,2015-01-03,2015-07-01
2015-01-18,0,False,2015-01-03,2015-07-01
2015-01-19,0,False,2015-01-03,2015-07-01
2015-01-20,0,False,2015-01-03,2015-07-01
2015-01-21,0,False,2015-01-03,2015-07-01
2015-01-22,34,False,2015-01-03,2015-07-01
2015-01-23,35,False,2015-01-03,2015-07-01
2015-01-24,0,False,2015-01-03,2015-07-01
2015-01-25,0,False,2015-01-03,2015-07-01
2015-01-26,0,False,2015-01-03,2015-07-01
2015-01-27,0,False,2015-01-03,2015-07-01
2015-01-28,0,False,2015-01-03,2015-07-01
2015-01-29,34,False,2015-01-03,2015-07-01
2015-01-30,0,False,2015-01-03,2015-07-01
2015-01-31,0,False,2015-01-03,2015-07-01
2015-02-01,38,False,2015-01-03,2015-07-01
2015-02-02,0,False,2015-01-03,2015-07-01
2015-02-03,0,False,2015-01-03,2015-07-01
2015-02-04,0,False,2015-01-03,2015-07-01
2015-02-05,33,False,2015-01-03,2015-07-01
2015-02-06,0,False,2015-01-03,2015-07-01
2015-02-07,0,False,2015-01-03,2015-07-01
2015-02-08,0,False,2015-01-03,2015-07-01
2015-02-09,33,False,2015-01-03,2015-07-01
2015-02-10,0,False,2015-01-03,2015-07-01
2015-02-11,0,False,2015-01-03,2015-07-01
2015-02-12,0,False,2015-01-03,2015-07-01
2015-02-13,0,False,2015-01-03,2015-07-01
2015-02-14,0,False,2015-01-03,2015-07-01
2015-02-15,41,False,2015-01-03,2015-07-01
2015-02-16,35,False,2015-01-03,2015-07-01
2015-02-17,35,False,2015-01-03,2015-07-01
2015-02-18,34,False,2015-01-03,2015-07-01
2015-02-19,0,False,2015-01-03,2015-07-01
2015-02-20,0,False,2015-01-03,2015-07-01
2015-02-21,0,False,2015-01-03,2015-07-01
2015-02-22,0,False,2015-01-03,2015-07-01
2015-02-23,0,False,2015-01-03,2015-07-01
2015-02-24,66,False,2015-01-03,2015-07-01
2015-02-25,0,False,2015-01-03,2015-07-01
2015-02-26,0,False,2015-01-03,2015-07-01
2015-02-27,0,False,2015-01-03,2015-07-01
2015-02-28,0,False,2015-01-03,2015-07-01
2015-03-01,0,False,2015-01-03,2015-07-01
2015-03-02,0,False,2015-01-03,2015-07-01
2015-03-03,33,False,2015-01-03,2015-07-01
2015-03-04,33,False,2015-01-03,2015-07-01
2015-03-05,0,False,2015-01-03,2015-07-01
2015-03-06,0,False,2015-01-03,2015-07-01
2015-03-07,40,False,2015-01-03,2015-07-01
2015-03-08,39,False,2015-01-03,2015-07-01
2015-03-09,0,False,2015-01-03,2015-07-01
2015-03-10,33,False,2015-01-03,2015-07-01
2015-03-11,0,False,2015-01-03,2015-07-01
2015-03-12,34,False,2015-01-03,2015-07-01
2015-03-13,35,False,2015-01-03,2015-07-01
2015-03-14,78,False,2015-01-03,2015-07-01
2015-03-15,0,False,2015-01-03,2015-07-01
2015-03-16,0,False,2015-01-03,2015-07-01
2015-03-17,0,False,2015-01-03,2015-07-01
2015-03-18,0,False,2015-01-03,2015-07-01
2015-03-19,0,False,2015-01-03,2015-07-01
2015-03-20,0,False,2015-01-03,2015-07-01
2015-03-21,0,False,2015-01-03,2015-07-01
2015-03-22,0,False,2015-01-03,2015-07-01
2015-03-23,33,False,2015-01-03,2015-07-01
2015-03-24,0,False,2015-01-03,2015-07-01
2015-03-25,0,False,2015-01-03,2015-07-01
2015-03-26,0,False,2015-01-03,2015-07-01
