date,sell bitcoin,isPartial,window_start,window_end
2015-01-12,33,False,2015-01-03,2015-07-01
2015-01-13,33,False,2015-01-03,2015-07-01
2015-01-14,66,False,2015-01-03,2015-07-01
2015-01-15,33,False,2015-01-03,2015-07-01
2015-01-16,0,False,2015-01-03,2015-07-01
2015-01-17,38,False,2015-01-03,2015-07-01
2015-01-18,38,False,2015-01-03,2015-07-01
2015-01-19,33,False,2015-01-03,2015-07-01
2015-01-20,66,False,2015-01-03,2015-07-01
2015-01-21,66,False,2015-01-03,2015-07-01
2015-01-22,100,False,2015-01-03,2015-07-01
2015-01-23,34,False,2015-01-03,2015-07-01
2015-01-24,39,False,2015-01-03,2015-07-01
2015-01-25,38,False,2015-01-03,2015-07-01
2015-01-26,97,False,2015-01-03,2015-07-01
2015-01-27,32,False,2015-01-03,2015-07-01
2015-01-28,0,False,2015-01-03,2015-07-01
2015-01-29,33,False,2015-01-03,2015-07-01
2015-01-30,0,False,2015-01-03,2015-07-01
2015-01-31,38,False,2015-01-03,2015-07-01
2015-02-01,0,False,2015-01-03,2015-07-01
2015-02-02,32,False,2015-01-03,2015-07-01
2015-02-03,32,False,2015-01-03,2015-07-01
2015-02-04,32,False,2015-01-03,2015-07-01
2015-02-05,0,False,2015-01-03,2015-07-01
2015-02-06,68,False,2015-01-03,2015-07-01
2015-02-07,0,False,2015-01-03,2015-07-01
2015-02-08,38,False,2015-01-03,2015-07-01
2015-02-09,32,False,2015-01-03,2015-07-01
2015-02-10,32,False,2015-01-03,2015-07-01
2015-02-11,0,False,2015-01-03,2015-07-01
2015-02-12,33,False,2015-01-03,2015-07-01
2015-02-13,0,False,2015-01-03,2015-07-01
2015-02-14,0,False,2015-01-03,2015-07-01
2015-02-15,0,False,2015-01-03,2015-07-01
2015-02-16,34,False,2015-01-03,2015-07-01
2015-02-17,68,False,2015-01-03,2015-07-01
2015-02-18,33,False,2015-01-03,2015-07-01
2015-02-19,0,False,2015-01-03,2015-07-01
2015-02-20,34,False,2015-01-03,2015-07-01
2015-02-21,39,False,2015-01-03,2015-07-01
2015-02-22,38,False,2015-01-03,2015-07-01
2015-02-23,32,False,2015-01-03,2015-07-01
2015-02-24,64,False,2015-01-03,2015-07-01
2015-02-25,0,False,2015-01-03,2015-07-01
2015-02-26,0,False,2015-01-03,2015-07-01
2015-02-27,0,False,2015-01-03,2015-07-01
2015-02-28,0,False,2015-01-03,2015-07-01
2015-03-01,0,False,2015-01-03,2015-07-01
2015-03-02,0,False,2015-01-03,2015-07-01
2015-03-03,32,False,2015-01-03,2015-07-01
2015-03-04,0,False,2015-01-03,2015-07-01
2015-03-05,33,False,2015-01-03,2015-07-01
2015-03-06,0,False,2015-01-03,2015-07-01
2015-03-07,0,False,2015-01-03,2015-07-01
2015-03-08,38,False,2015-01-03,2015-07-01
2015-03-09,32,False,2015-01-03,2015-07-01
2015-03-10,0,False,2015-01-03,2015-07-01
2015-03-11,64,False,2015-01-03,2015-07-01
2015-03-12,65,False,2015-01-03,2015-07-01
2015-03-13,0,False,2015-01-03,2015-07-01
2015-03-14,38,False,2015-01-03,2015-07-01
2015-03-15,0,False,2015-01-03,2015-07-01
2015-03-16,65,False,2015-01-03,2015-07-01
2015-03-17,0,False,2015-01-03,2015-07-01
2015-03-18,32,False,2015-01-03,2015-07-01
2015-03-19,32,False,2015-01-03,2015-07-01
2015-03-20,33,False,2015-01-03,2015-07-01
2015-03-21,38,False,2015-01-03,2015-07-01
2015-03-22,0,False,2015-01-03,2015-07-01
2015-03-23,0,False,2015-01-03,2015-07-01
2015-03-24,0,False,2015-01-03,2015-07-01
2015-03-25,0,False,2015-01-03,2015-07-01
2015-03-26,37,False,2015-01-03,2015-07-01
2015-03-27,67,False,2015-01-03,2015-07-01
2015-03-28,82,False,2015-01-03,2015-07-01
2015-03-29,40,False,2015-01-03,2015-07-01
2015-03-30,0,False,2015-01-03,2015-07-01
2015-03-31,0,False,2015-01-03,2015-07-01
2015-04-01,34,False,2015-01-03,2015-07-01
2015-04-02,34,False,2015-01-03,2015-07-01
2015-04-03,0,False,2015-01-03,2015-07-01
2015-04-04,40,False,2015-01-03,2015-07-01
2015-04-05,40,False,2015-01-03,2015-07-01
2015-04-06,0,False,2015-01-03,2015-07-01
2015-04-07,0,False,2015-01-03,2015-07-01
2015-04-08,0,False,2015-01-03,2015-07-01
2015-04-09,33,False,2015-01-03,2015-07-01
2015-04-10,0,False,2015-01-03,2015-07-01
2015-04-11,0,False,2015-01-03,2015-07-01
2015-04-12,38,False,2015-01-03,2015-07-01
2015-04-13,0,False,2015-01-03,2015-07-01
2015-04-14,97,False,2015-01-03,2015-07-01
2015-04-15,32,False,2015-01-03,2015-07-01
2015-04-16,0,False,2015-01-03,2015-07-01
2015-04-17,0,False,2015-01-03,2015-07-01
2015-04-18,0,False,2015-01-03,2015-07-01
2015-04-19,0,False,2015-01-03,2015-07-01
2015-04-20,0,False,2015-01-03,2015-07-01
2015-04-21,32,False,2015-01-03,2015-07-01
2015-04-22,0,False,2015-01-03,2015-07-01
2015-04-23,0,False,2015-01-03,2015-07-01
2015-04-24,0,False,2015-01-03,2015-07-01
2015-04-25,38,False,2015-01-03,2015-07-01
2015-04-26,38,False,2015-01-03,2015-07-01
2015-04-27,64,False,2015-01-03,2015-07-01
2015-04-28,0,False,2015-01-03,2015-07-01
2015-04-29,0,False,2015-01-03,2015-07-01
2015-04-30,33,False,2015-01-03,2015-07-01
2015-05-01,0,False,2015-01-03,2015-07-01
2015-05-02,0,False,2015-01-03,2015-07-01
2015-05-03,0,False,2015-01-03,2015-07-01
2015-05-04,33,False,2015-01-03,2015-07-01
2015-05-05,0,False,2015-01-03,2015-07-01
2015-05-06,0,False,2015-01-03,2015-07-01
2015-05-07,0,False,2015-01-03,2015-07-01
2015-05-08,0,False,2015-01-03,2015-07-01
2015-05-09,39,False,2015-01-03,2015-07-01
2015-05-10,39,False,2015-01-03,2015-07-01
2015-05-11,0,False,2015-01-03,2015-07-01
2015-05-12,0,False,2015-01-03,2015-07-01
2015-05-13,0,False,2015-01-03,2015-07-01
2015-05-14,0,False,2015-01-03,2015-07-01
2015-05-15,34,False,2015-01-03,2015-07-01
2015-05-16,0,False,2015-01-03,2015-07-01
2015-05-17,0,False,2015-01-03,2015-07-01
2015-05-18,0,False,2015-01-03,2015-07-01
2015-05-19,0,False,2015-01-03,2015-07-01
2015-05-20,32,False,2015-01-03,2015-07-01
2015-05-21,65,False,2015-01-03,2015-07-01
2015-05-22,0,False,2015-01-03,2015-07-01
2015-05-23,0,False,2015-01-03,2015-07-01
2015-05-24,39,False,2015-01-03,2015-07-01
2015-05-25,33,False,2015-01-03,2015-07-01
2015-05-26,31,False,2015-01-03,2015-07-01
2015-05-27,32,False,2015-01-03,2015-07-01
2015-05-28,0,False,2015-01-03,2015-07-01
2015-05-29,33,False,2015-01-03,2015-07-01
2015-05-30,0,False,2015-01-03,2015-07-01
2015-05-31,76,False,2015-01-03,2015-07-01
2015-06-01,32,False,2015-01-03,2015-07-01
2015-06-02,32,False,2015-01-03,2015-07-01
2015-06-03,0,False,2015-01-03,2015-07-01
2015-06-04,0,False,2015-01-03,2015-07-01
2015-06-05,34,False,2015-01-03,2015-07-01
2015-06-06,39,False,2015-01-03,2015-07-01
2015-06-07,77,False,2015-01-03,2015-07-01
2015-06-08,0,False,2015-01-03,2015-07-01
2015-06-09,0,False,2015-01-03,2015-07-01
2015-06-10,32,False,2015-01-03,2015-07-01
2015-06-11,0,False,2015-01-03,2015-07-01
2015-06-12,34,False,2015-01-03,2015-07-01
2015-06-13,0,False,2015-01-03,2015-07-01
2015-06-14,0,False,2015-01-03,2015-07-01
2015-06-15,31,False,2015-01-03,2015-07-01
2015-06-16,0,False,2015-01-03,2015-07-01
2015-06-17,32,False,2015-01-03,2015-07-01
2015-06-18,32,False,2015-01-03,2015-07-01
2015-06-19,0,False,2015-01-03,2015-07-01
2015-06-20,0,False,2015-01-03,2015-07-01
2015-06-21,39,False,2015-01-03,2015-07-01
2015-06-22,0,False,2015-01-03,2015-07-01
2015-06-23,0,False,2015-01-03,2015-07-01
2015-06-24,33,False,2015-01-03,2015-07-01
2015-06-25,0,False,2015-01-03,2015-07-01
2015-06-26,0,False,2015-01-03,2015-07-01
2015-06-27,0,False,2015-01-03,2015-07-01
2015-06-28,0,False,2015-01-03,2015-07-01
2015-06-29,32,False,2015-01-03,2015-07-01
2015-06-30,32,False,2015-01-03,2015-07-01
2015-07-01,0,False,2015-01-03,2015-07-01
2015-01-04,30,False,2015-01-04,2015-07-02
2015-01-05,79,False,2015-01-04,2015-07-02
2015-01-06,53,False,2015-01-04,2015-07-02
2015-01-07,0,False,2015-01-04,2015-07-02
2015-01-08,26,False,2015-01-04,2015-07-02
2015-01-09,0,False,2015-01-04,2015-07-02
2015-01-10,0,False,2015-01-04,2015-07-02
2015-01-11,59,False,2015-01-04,2015-07-02
2015-01-12,51,False,2015-01-04,2015-07-02
2015-01-13,25,False,2015-01-04,2015-07-02
2015-01-14,25,False,2015-01-04,2015-07-02
2015-01-15,26,False,2015-01-04,2015-07-02
2015-01-16,0,False,2015-01-04,2015-07-02
2015-01-17,60,False,2015-01-04,2015-07-02
2015-01-18,0,False,2015-01-04,2015-07-02
2015-01-19,51,False,2015-01-04,2015-07-02
2015-01-20,100,False,2015-01-04,2015-07-02
2015-01-21,0,False,2015-01-04,2015-07-02
2015-01-22,25,False,2015-01-04,2015-07-02
2015-01-23,52,False,2015-01-04,2015-07-02
2015-01-24,0,False,2015-01-04,2015-07-02
2015-01-25,58,False,2015-01-04,2015-07-02
2015-01-26,25,False,2015-01-04,2015-07-02
2015-01-27,25,False,2015-01-04,2015-07-02
2015-01-28,0,False,2015-01-04,2015-07-02
2015-01-29,25,False,2015-01-04,2015-07-02
2015-01-30,0,False,2015-01-04,2015-07-02
2015-01-31,0,False,2015-01-04,2015-07-02
2015-02-01,0,False,2015-01-04,2015-07-02
2015-02-02,0,False,2015-01-04,2015-07-02
2015-02-03,0,False,2015-01-04,2015-07-02
2015-02-04,0,False,2015-01-04,2015-07-02
2015-02-05,0,False,2015-01-04,2015-07-02
2015-02-06,26,False,2015-01-04,2015-07-02
2015-02-07,29,False,2015-01-04,2015-07-02
2015-02-08,0,False,2015-01-04,2015-07-02
2015-02-09,25,False,2015-01-04,2015-07-02
2015-02-10,49,False,2015-01-04,2015-07-02
2015-02-11,25,False,2015-01-04,2015-07-02
2015-02-12,0,False,2015-01-04,2015-07-02
2015-02-13,0,False,2015-01-04,2015-07-02
2015-02-14,0,False,2015-01-04,2015-07-02
2015-02-15,30,False,2015-01-04,2015-07-02
2015-02-16,52,False,2015-01-04,2015-07-02
2015-02-17,26,False,2015-01-04,2015-07-02
2015-02-18,25,False,2015-01-04,2015-07-02
2015-02-19,26,False,2015-01-04,2015-07-02
2015-02-20,0,False,2015-01-04,2015-07-02
2015-02-21,59,False,2015-01-04,2015-07-02
2015-02-22,0,False,2015-01-04,2015-07-02
2015-02-23,25,False,2015-01-04,2015-07-02
2015-02-24,25,False,2015-01-04,2015-07-02
2015-02-25,25,False,2015-01-04,2015-07-02
2015-02-26,0,False,2015-01-04,2015-07-02
2015-02-27,0,False,2015-01-04,2015-07-02
2015-02-28,29,False,2015-01-04,2015-07-02
2015-03-01,0,False,2015-01-04,2015-07-02
2015-03-02,0,False,2015-01-04,2015-07-02
2015-03-03,24,False,2015-01-04,2015-07-02
2015-03-04,25,False,2015-01-04,2015-07-02
2015-03-05,0,False,2015-01-04,2015-07-02
2015-03-06,0,False,2015-01-04,2015-07-02
2015-03-07,0,False,2015-01-04,2015-07-02
2015-03-08,29,False,2015-01-04,2015-07-02
2015-03-09,24,False,2015-01-04,2015-07-02
2015-03-10,49,False,2015-01-04,2015-07-02
2015-03-11,0,False,2015-01-04,2015-07-02
2015-03-12,25,False,2015-01-04,2015-07-02
2015-03-13,26,False,2015-01-04,2015-07-02
2015-03-14,29,False,2015-01-04,2015-07-02
2015-03-15,0,False,2015-01-04,2015-07-02
2015-03-16,25,False,2015-01-04,2015-07-02
2015-03-17,0,False,2015-01-04,2015-07-02
2015-03-18,0,False,2015-01-04,2015-07-02
2015-03-19,0,False,2015-01-04,2015-07-02
2015-03-20,26,False,2015-01-04,2015-07-02
2015-03-21,29,False,2015-01-04,2015-07-02
2015-03-22,0,False,2015-01-04,2015-07-02
2015-03-23,0,False,2015-01-04,2015-07-02
2015-03-24,25,False,2015-01-04,2015-07-02
2015-03-25,0,False,2015-01-04,2015-07-02
2015-03-26,57,False,2015-01-04,2015-07-02
2015-03-27,26,False,2015-01-04,2015-07-02
2015-03-28,64,False,2015-01-04,2015-07-02
2015-03-29,30,False,2015-01-04,2015-07-02
2015-03-30,25,False,2015-01-04,2015-07-02
2015-03-31,0,False,2015-01-04,2015-07-02
2015-04-01,0,False,2015-01-04,2015-07-02
2015-04-02,0,False,2015-01-04,2015-07-02
2015-04-03,0,False,2015-01-04,2015-07-02
2015-04-04,0,False,2015-01-04,2015-07-02
2015-04-05,30,False,2015-01-04,2015-07-02
2015-04-06,26,False,2015-01-04,2015-07-02
2015-04-07,0,False,2015-01-04,2015-07-02
2015-04-08,0,False,2015-01-04,2015-07-02
2015-04-09,25,False,2015-01-04,2015-07-02
2015-04-10,0,False,2015-01-04,2015-07-02
2015-04-11,0,False,2015-01-04,2015-07-02
2015-04-12,59,False,2015-01-04,2015-07-02
2015-04-13,25,False,2015-01-04,2015-07-02
2015-04-14,0,False,2015-01-04,2015-07-02
2015-04-15,0,False,2015-01-04,2015-07-02
2015-04-16,0,False,2015-01-04,2015-07-02
2015-04-17,26,False,2015-01-04,2015-07-02
2015-04-18,0,False,2015-01-04,2015-07-02
2015-04-19,0,False,2015-01-04,2015-07-02
2015-04-20,0,False,2015-01-04,2015-07-02
2015-04-21,25,False,2015-01-04,2015-07-02
2015-04-22,0,False,2015-01-04,2015-07-02
2015-04-23,0,False,2015-01-04,2015-07-02
2015-04-24,26,False,2015-01-04,2015-07-02
2015-04-25,0,False,2015-01-04,2015-07-02
2015-04-26,30,False,2015-01-04,2015-07-02
2015-04-27,49,False,2015-01-04,2015-07-02
2015-04-28,0,False,2015-01-04,2015-07-02
2015-04-29,0,False,2015-01-04,2015-07-02
2015-04-30,26,False,2015-01-04,2015-07-02
2015-05-01,0,False,2015-01-04,2015-07-02
2015-05-02,30,False,2015-01-04,2015-07-02
2015-05-03,29,False,2015-01-04,2015-07-02
2015-05-04,0,False,2015-01-04,2015-07-02
2015-05-05,24,False,2015-01-04,2015-07-02
2015-05-06,25,False,2015-01-04,2015-07-02
2015-05-07,0,False,2015-01-04,2015-07-02
2015-05-08,0,False,2015-01-04,2015-07-02
2015-05-09,60,False,2015-01-04,2015-07-02
2015-05-10,30,False,2015-01-04,2015-07-02
2015-05-11,0,False,2015-01-04,2015-07-02
2015-05-12,0,False,2015-01-04,2015-07-02
2015-05-13,0,False,2015-01-04,2015-07-02
2015-05-14,0,False,2015-01-04,2015-07-02
2015-05-15,0,False,2015-01-04,2015-07-02
2015-05-16,0,False,2015-01-04,2015-07-02
2015-05-17,0,False,2015-01-04,2015-07-02
2015-05-18,0,False,2015-01-04,2015-07-02
2015-05-19,0,False,2015-01-04,2015-07-02
2015-05-20,25,False,2015-01-04,2015-07-02
2015-05-21,50,False,2015-01-04,2015-07-02
2015-05-22,26,False,2015-01-04,2015-07-02
2015-05-23,30,False,2015-01-04,2015-07-02
2015-05-24,30,False,2015-01-04,2015-07-02
2015-05-25,51,False,2015-01-04,2015-07-02
2015-05-26,48,False,2015-01-04,2015-07-02
2015-05-27,0,False,2015-01-04,2015-07-02
2015-05-28,49,False,2015-01-04,2015-07-02
2015-05-29,0,False,2015-01-04,2015-07-02
2015-05-30,0,False,2015-01-04,2015-07-02
2015-05-31,59,False,2015-01-04,2015-07-02
2015-06-01,24,False,2015-01-04,2015-07-02
2015-06-02,0,False,2015-01-04,2015-07-02
2015-06-03,0,False,2015-01-04,2015-07-02
2015-06-04,26,False,2015-01-04,2015-07-02
2015-06-05,26,False,2015-01-04,2015-07-02
2015-06-06,30,False,2015-01-04,2015-07-02
2015-06-07,30,False,2015-01-04,2015-07-02
2015-06-08,0,False,2015-01-04,2015-07-02
2015-06-09,0,False,2015-01-04,2015-07-02
2015-06-10,49,False,2015-01-04,2015-07-02
2015-06-11,0,False,2015-01-04,2015-07-02
2015-06-12,0,False,2015-01-04,2015-07-02
2015-06-13,0,False,2015-01-04,2015-07-02
2015-06-14,0,False,2015-01-04,2015-07-02
2015-06-15,0,False,2015-01-04,2015-07-02
2015-06-16,99,False,2015-01-04,2015-07-02
2015-06-17,49,False,2015-01-04,2015-07-02
2015-06-18,0,False,2015-01-04,2015-07-02
