,time,low,high,open,close,volume
203,1536577200.0,6272.99,6306.0,6287.87,6304.0,153.80377865
204,1536580800.0,6282.9,6304.0,6303.99,6293.01,170.5225412
205,1536584400.0,6272.17,6306.0,6293.01,6298.5,259.66893761
206,1536588000.0,6290.0,6341.21,6298.51,6301.0,450.87607192
207,1536591600.0,6278.0,6304.8,6301.0,6289.44,296.5167248
208,1536595200.0,6221.49,6292.64,6289.33,6257.19,552.87436991
209,1536598800.0,6240.01,6272.45,6257.19,6260.0,448.457897
210,1536602400.0,6250.0,6290.0,6260.0,6280.41,465.15456953
211,1536606000.0,6275.01,6295.0,6280.4,6289.97,311.87129606
212,1536609600.0,6269.14,6299.99,6289.47,6298.0,359.23348417
213,1536613200.0,6290.44,6299.99,6297.99,6293.32,185.47913102
214,1536616800.0,6267.4,6293.33,6293.33,6287.29,198.48958723
215,1536620400.0,6279.01,6300.0,6287.29,6300.0,371.65692454
216,1536624000.0,6286.33,6340.0,6300.0,6309.9,431.39643221
217,1536627600.0,6308.05,6390.0,6309.89,6390.0,441.46674611
218,1536631200.0,6340.86,6405.0,6390.0,6349.11,615.59903591
219,1536634800.0,6347.77,6369.4,6349.1,6348.99,247.31785199
220,1536638400.0,6321.85,6349.48,6349.0,6322.01,155.25595243
221,1536642000.0,6312.0,6330.17,6322.01,6325.19,119.70037478
222,1536645600.0,6322.71,6338.47,6325.19,6330.01,78.34235308
223,1536649200.0,6300.24,6330.01,6330.0,6304.28,157.02100498
224,1536652800.0,6296.0,6317.24,6304.28,6317.24,82.97930681
225,1536656400.0,6315.39,6334.7,6317.23,6327.85,90.35377921
226,1536660000.0,6306.18,6329.0,6327.85,6316.34,83.35476011
227,1536663600.0,6242.79,6320.08,6316.33,6272.96,373.05691543
228,1536667200.0,6257.81,6280.0,6272.95,6267.57,178.15197988
229,1536670800.0,6265.05,6292.25,6267.56,6274.85,199.01792509
230,1536674400.0,6176.76,6285.0,6274.84,6214.89,710.45421572
231,1536678000.0,6185.0,6252.46,6213.71,6252.45,606.025434
232,1536681600.0,6239.0,6262.68,6252.46,6252.54,350.42605829
233,1536685200.0,6228.13,6252.54,6252.54,6239.26,327.9586672
234,1536688800.0,6194.38,6243.5,6239.07,6242.99,580.67913313
235,1536692400.0,6230.0,6271.94,6242.98,6264.71,692.13786458
236,1536696000.0,6239.1,6264.7,6264.7,6250.0,257.45388396
237,1536699600.0,6236.0,6306.91,6249.99,6305.99,367.60089848
238,1536703200.0,6285.0,6307.77,6305.99,6287.4,195.50350035
239,1536706800.0,6267.87,6289.0,6287.4,6282.53,171.5368689
240,1536710400.0,6259.17,6287.0,6282.53,6259.18,221.25729113
1,1536714000.0,6252.69,6268.4,6259.17,6259.48,281.17146842
2,1536717600.0,6236.57,6268.0,6258.97,6248.84,301.05026967
3,1536721200.0,6223.74,6260.0,6248.41,6260.0,310.14274699
4,1536724800.0,6252.37,6277.91,6259.99,6262.86,178.72681159
5,1536728400.0,6260.11,6290.0,6262.88,6269.46,168.65306243
6,1536732000.0,6247.77,6269.47,6269.46,6252.78,125.8009956
7,1536735600.0,6229.53,6258.98,6252.78,6240.0,157.29397551
8,1536739200.0,6191.1,6246.11,6239.99,6238.99,332.52940697
9,1536742800.0,6233.0,6250.0,6239.0,6246.98,160.4871505
10,1536746400.0,6231.3,6255.0,6246.98,6236.22,174.27119612
11,1536750000.0,6210.03,6238.45,6236.21,6232.46,258.65262618
12,1536753600.0,6228.84,6274.87,6232.45,6248.52,412.74504052
13,1536757200.0,6248.51,6280.0,6248.52,6280.0,303.71505448
14,1536760800.0,6250.64,6283.41,6280.0,6267.01,337.47939843
15,1536764400.0,6249.0,6271.13,6267.01,6261.99,307.08552507
16,1536768000.0,6252.77,6274.39,6261.99,6259.5,355.41248511
17,1536771600.0,6258.63,6298.45,6259.51,6273.96,478.69136409
18,1536775200.0,6271.03,6340.94,6273.97,6298.99,818.78635215
19,1536778800.0,6295.0,6322.19,6299.0,6303.17,514.5421581
20,1536782400.0,6289.0,6306.81,6303.16,6305.0,340.95482656
21,1536786000.0,6295.0,6323.78,6305.0,6299.99,326.89745666
22,1536789600.0,6300.0,6335.65,6300.0,6335.65,326.30769112
23,1536793200.0,6319.85,6335.66,6335.65,6326.0,236.33696209
24,1536796800.0,6323.64,6434.0,6326.0,6408.0,1402.64111817
25,1536800400.0,6383.1,6408.81,6408.0,6391.4,306.66516791
26,1536804000.0,6379.0,6394.92,6391.4,6389.97,199.89391694
27,1536807600.0,6377.9,6400.0,6389.97,6382.13,190.77989256
28,1536811200.0,6382.13,6405.78,6382.14,6388.39,217.69130552
29,1536814800.0,6369.11,6397.21,6388.39,6379.78,249.98630588
30,1536818400.0,6375.0,6388.56,6379.79,6385.0,114.86534687
31,1536822000.0,6380.0,6392.78,6385.0,6384.0,75.65448769
32,1536825600.0,6381.75,6420.85,6384.0,6409.81,249.26842261
33,1536829200.0,6406.33,6488.62,6410.34,6434.0,723.99872326
34,1536832800.0,6426.49,6457.36,6434.0,6436.02,207.86981967
35,1536836400.0,6425.0,6469.0,6436.01,6465.36,308.60885463
36,1536840000.0,6431.96,6478.61,6465.36,6454.57,521.23849285
37,1536843600.0,6450.0,6530.0,6454.56,6503.38,748.10903583
38,1536847200.0,6484.86,6517.0,6503.39,6491.31,462.85366255
39,1536850800.0,6471.0,6491.31,6491.3,6480.01,431.90974738
40,1536854400.0,6480.0,6523.84,6480.01,6506.01,556.80753799
41,1536858000.0,6485.0,6519.9,6506.01,6501.37,467.68466331
42,1536861600.0,6482.0,6505.0,6501.36,6484.55,327.10197816
43,1536865200.0,6433.84,6490.64,6484.54,6446.99,532.87195905
44,1536868800.0,6410.0,6467.69,6446.99,6464.0,469.56202203
45,1536872400.0,6441.93,6464.0,6463.99,6458.48,322.0398978
46,1536876000.0,6456.75,6500.02,6458.48,6478.89,368.56230458
47,1536879600.0,6477.93,6513.32,6479.22,6485.99,344.08659201
48,1536883200.0,6456.0,6496.98,6485.99,6462.0,210.85643436
49,1536886800.0,6461.99,6494.0,6462.0,6488.81,187.25876129
50,1536890400.0,6488.81,6564.25,6488.82,6547.82,890.53079892
51,1536894000.0,6547.81,6579.0,6547.82,6551.0,356.04923811
52,1536897600.0,6538.0,6562.99,6551.01,6539.99,157.14608644
53,1536901200.0,6539.99,6567.15,6540.0,6551.62,156.6493125
54,1536904800.0,6544.0,6559.0,6551.62,6556.0,98.418565
55,1536908400.0,6549.0,6580.0,6556.0,6549.44,149.62692417
56,1536912000.0,6378.05,6549.85,6549.45,6421.52,1059.02746453
57,1536915600.0,6415.67,6460.0,6421.52,6425.26,261.48545483
58,1536919200.0,6425.27,6459.58,6425.27,6440.42,183.26127283
59,1536922800.0,6440.42,6477.39,6440.43,6462.51,160.98484164
60,1536926400.0,6444.75,6475.0,6462.51,6462.0,168.93436518
61,1536930000.0,6426.71,6467.0,6462.0,6445.67,269.07846942
62,1536933600.0,6432.39,6453.0,6445.69,6450.0,210.40314185
63,1536937200.0,6449.99,6478.97,6449.99,6478.39,418.09707478
64,1536940800.0,6478.38,6516.41,6478.39,6503.0,475.30055137
65,1536944400.0,6470.0,6504.03,6503.01,6470.69,299.77382896
66,1536948000.0,6464.06,6484.91,6470.69,6472.0,194.284399
67,1536951600.0,6471.99,6544.8,6471.99,6538.0,459.69489872
68,1536955200.0,6501.17,6539.02,6537.01,6535.0,475.40559623
69,1536958800.0,6507.99,6545.53,6535.01,6512.49,301.11880892
70,1536962400.0,6500.0,6535.0,6512.5,6516.03,230.85057072
71,1536966000.0,6468.0,6524.36,6516.03,6478.04,317.57367648
72,1536969600.0,6475.0,6500.0,6478.05,6485.66,129.8057622
73,1536973200.0,6485.65,6520.0,6485.66,6519.36,213.72269819
74,1536976800.0,6500.0,6519.36,6519.36,6506.51,149.59812836
75,1536980400.0,6480.22,6506.51,6506.51,6497.2,96.99930706
76,1536984000.0,6488.51,6513.67,6497.19,6513.67,103.49489812
77,1536987600.0,6482.4,6513.67,6513.67,6490.32,79.25413286
78,1536991200.0,6470.0,6491.86,6490.32,6483.45,81.26929493
79,1536994800.0,6483.45,6499.08,6483.45,6499.08,42.21327414
80,1536998400.0,6499.07,6528.0,6499.08,6520.0,102.87138767
81,1537002000.0,6512.99,6528.1,6520.0,6528.09,80.01616006
82,1537005600.0,6517.35,6550.0,6528.1,6517.36,145.1167756
83,1537009200.0,6499.9,6523.0,6517.36,6519.99,79.08372569
84,1537012800.0,6519.0,6530.11,6520.0,6524.0,81.03618842
85,1537016400.0,6523.99,6560.0,6523.99,6538.06,190.98406038
86,1537020000.0,6533.0,6565.0,6538.05,6533.05,258.85099537
87,1537023600.0,6522.0,6546.0,6533.05,6535.33,258.15834664
88,1537027200.0,6532.0,6556.5,6535.32,6544.67,153.93211346
89,1537030800.0,6532.0,6557.0,6544.67,6546.32,178.29525784
90,1537034400.0,6513.59,6550.19,6546.33,6519.61,227.05499419
91,1537038000.0,6512.66,6536.4,6519.62,6536.0,174.33713765
92,1537041600.0,6512.76,6536.0,6536.0,6533.99,146.0872436
93,1537045200.0,6479.36,6533.91,6533.38,6504.01,243.23768767
94,1537048800.0,6498.4,6532.56,6504.01,6520.01,98.80691255
