date,how to buy bitcoin,isPartial,window_start,window_end
2020-02-12,40,False,2020-01-02,2020-06-29
2020-02-13,54,False,2020-01-02,2020-06-29
2020-02-14,30,False,2020-01-02,2020-06-29
2020-02-15,33,False,2020-01-02,2020-06-29
2020-02-16,8,False,2020-01-02,2020-06-29
2020-02-17,26,False,2020-01-02,2020-06-29
2020-02-18,40,False,2020-01-02,2020-06-29
2020-02-19,43,False,2020-01-02,2020-06-29
2020-02-20,11,False,2020-01-02,2020-06-29
2020-02-21,11,False,2020-01-02,2020-06-29
2020-02-22,16,False,2020-01-02,2020-06-29
2020-02-23,33,False,2020-01-02,2020-06-29
2020-02-24,29,False,2020-01-02,2020-06-29
2020-02-25,29,False,2020-01-02,2020-06-29
2020-02-26,42,False,2020-01-02,2020-06-29
2020-02-27,49,False,2020-01-02,2020-06-29
2020-02-28,18,False,2020-01-02,2020-06-29
2020-02-29,16,False,2020-01-02,2020-06-29
2020-03-01,24,False,2020-01-02,2020-06-29
2020-03-02,21,False,2020-01-02,2020-06-29
2020-03-03,25,False,2020-01-02,2020-06-29
2020-03-04,32,False,2020-01-02,2020-06-29
2020-03-05,32,False,2020-01-02,2020-06-29
2020-03-06,37,False,2020-01-02,2020-06-29
2020-03-07,29,False,2020-01-02,2020-06-29
2020-03-08,32,False,2020-01-02,2020-06-29
2020-03-09,28,False,2020-01-02,2020-06-29
2020-03-10,46,False,2020-01-02,2020-06-29
2020-03-11,35,False,2020-01-02,2020-06-29
2020-03-12,48,False,2020-01-02,2020-06-29
2020-03-13,100,False,2020-01-02,2020-06-29
2020-03-14,65,False,2020-01-02,2020-06-29
2020-03-15,51,False,2020-01-02,2020-06-29
2020-03-16,62,False,2020-01-02,2020-06-29
2020-03-17,24,False,2020-01-02,2020-06-29
2020-03-18,59,False,2020-01-02,2020-06-29
2020-03-19,49,False,2020-01-02,2020-06-29
2020-03-20,52,False,2020-01-02,2020-06-29
2020-03-21,43,False,2020-01-02,2020-06-29
2020-03-22,47,False,2020-01-02,2020-06-29
2020-03-23,32,False,2020-01-02,2020-06-29
2020-03-24,48,False,2020-01-02,2020-06-29
2020-03-25,53,False,2020-01-02,2020-06-29
2020-03-26,31,False,2020-01-02,2020-06-29
2020-03-27,47,False,2020-01-02,2020-06-29
2020-03-28,41,False,2020-01-02,2020-06-29
2020-03-29,53,False,2020-01-02,2020-06-29
2020-03-30,37,False,2020-01-02,2020-06-29
2020-03-31,39,False,2020-01-02,2020-06-29
2020-04-01,56,False,2020-01-02,2020-06-29
2020-04-02,50,False,2020-01-02,2020-06-29
2020-04-03,48,False,2020-01-02,2020-06-29
2020-04-04,23,False,2020-01-02,2020-06-29
2020-04-05,57,False,2020-01-02,2020-06-29
2020-04-06,37,False,2020-01-02,2020-06-29
2020-04-07,37,False,2020-01-02,2020-06-29
2020-04-08,20,False,2020-01-02,2020-06-29
2020-04-09,42,False,2020-01-02,2020-06-29
2020-04-10,62,False,2020-01-02,2020-06-29
2020-04-11,39,False,2020-01-02,2020-06-29
2020-04-12,47,False,2020-01-02,2020-06-29
2020-04-13,69,False,2020-01-02,2020-06-29
2020-04-14,30,False,2020-01-02,2020-06-29
2020-04-15,53,False,2020-01-02,2020-06-29
2020-04-16,51,False,2020-01-02,2020-06-29
2020-04-17,38,False,2020-01-02,2020-06-29
2020-04-18,49,False,2020-01-02,2020-06-29
2020-04-19,34,False,2020-01-02,2020-06-29
2020-04-20,45,False,2020-01-02,2020-06-29
2020-04-21,40,False,2020-01-02,2020-06-29
2020-04-22,37,False,2020-01-02,2020-06-29
2020-04-23,33,False,2020-01-02,2020-06-29
2020-04-24,44,False,2020-01-02,2020-06-29
2020-04-25,61,False,2020-01-02,2020-06-29
2020-04-26,57,False,2020-01-02,2020-06-29
2020-04-27,54,False,2020-01-02,2020-06-29
2020-04-28,33,False,2020-01-02,2020-06-29
2020-04-29,57,False,2020-01-02,2020-06-29
2020-04-30,99,False,2020-01-02,2020-06-29
2020-05-01,40,False,2020-01-02,2020-06-29
2020-05-02,49,False,2020-01-02,2020-06-29
2020-05-03,62,False,2020-01-02,2020-06-29
2020-05-04,62,False,2020-01-02,2020-06-29
2020-05-05,80,False,2020-01-02,2020-06-29
2020-05-06,43,False,2020-01-02,2020-06-29
2020-05-07,87,False,2020-01-02,2020-06-29
